painting,paintingLabel,depicts,depictsLabel
http://www.wikidata.org/entity/Q22085077,Wyprawa na strych,http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22085077,Wyprawa na strych,http://www.wikidata.org/entity/Q2934,koza
http://www.wikidata.org/entity/Q22085077,Wyprawa na strych,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22085077,Wyprawa na strych,http://www.wikidata.org/entity/Q168639,drabina
http://www.wikidata.org/entity/Q22085105,Martwa natura z kielichem i cytryną,http://www.wikidata.org/entity/Q32489,nóż
http://www.wikidata.org/entity/Q22085105,Martwa natura z kielichem i cytryną,http://www.wikidata.org/entity/Q820889,berkemeyer
http://www.wikidata.org/entity/Q22085105,Martwa natura z kielichem i cytryną,http://www.wikidata.org/entity/Q1093742,cytryna
http://www.wikidata.org/entity/Q22085105,Martwa natura z kielichem i cytryną,http://www.wikidata.org/entity/Q6453403,roemer
http://www.wikidata.org/entity/Q22085140,"Szkic, Ścięcie świętej niewiasty (św. Katarzyny?)",http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22085140,"Szkic, Ścięcie świętej niewiasty (św. Katarzyny?)",http://www.wikidata.org/entity/Q43115,święty
http://www.wikidata.org/entity/Q22085140,"Szkic, Ścięcie świętej niewiasty (św. Katarzyny?)",http://www.wikidata.org/entity/Q179718,Katarzyna Aleksandryjska
http://www.wikidata.org/entity/Q22085140,"Szkic, Ścięcie świętej niewiasty (św. Katarzyny?)",http://www.wikidata.org/entity/Q204933,ścięcie
http://www.wikidata.org/entity/Q22085166,Sielanka pasterska,http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22085166,Sielanka pasterska,http://www.wikidata.org/entity/Q8441,mężczyzna
